run_id,model_name,created_at,n_blocks,results_log_path,seed,img_size,batch_size,num_workers,val_size,test_size,frozen_epochs,finetune_epochs,head_lr,backbone_lr,weight_decay,dropout,early_stop_patience,use_dataset_stats,stats_sample_size,target_sensitivity,target_specificity,val_auc,val_sensitivity,val_specificity,val_youden,val_accuracy,val_precision,val_tp,val_tn,val_fp,val_fn,val_threshold,test_auc,test_sensitivity,test_specificity,test_youden,test_accuracy,test_precision,test_tp,test_tn,test_fp,test_fn,test_threshold,n_seeds,grad_clip,backbone,use_ensemble,seeds,use_composite_loss,composite_loss_alpha,composite_loss_gamma,tta_passes,n_bootstrap,val_composite,test_composite,mixup_alpha,label_smoothing,preprocessing_profile,crop_to_thorax,thorax_pad,thorax_bbox_cache_path,transform_style,tta_style,finetune_warmup_epochs,checkpoint_metric,bce_pos_weight_scale,frozen_blocks,use_focal_loss,focal_gamma,composite_thr_temperature,composite_min_class_per_batch
20260421_212622,efficientnet_b3_tabular,2026-04-21 21:26:22,7.0,results_log.csv,42,300,32,0,0.15,0.15,3,15,0.0005,3e-05,0.0001,0.2,6,True,1200.0,0.9,0.9,0.9104220499569337,0.8240740740740741,0.8449612403100775,0.6690353143841516,0.8354430379746836,0.8165137614678899,89,109,20,19,0.5777029991149902,0.9032443296009188,0.7870370370370371,0.8682170542635659,0.6552540913006029,0.8312236286919831,0.8333333333333334,85,112,17,23,0.5777029991149902,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20260422_202949,densenet121_ensemble3seed,2026-04-22 20:29:49,,results_log.csv,7,224,32,4,0.15,0.15,10,15,0.001,0.001,0.0001,,4,,,,,0.9499712891185758,0.9166666666666666,0.8837209302325582,0.8003875968992249,0.8987341772151899,0.868421052631579,99,114,15,9,0.504486,0.9391329313809934,0.8703703703703703,0.8527131782945736,0.7230835486649441,0.8607594936708861,0.831858407079646,94,110,19,14,0.504486,3.0,1.0,densenet121,True,"8,7,2024",False,0.5,1.0,6.0,1000.0,0.9250825437840942,0.9003373528567327,,,,,,,,,,,,,,,,
20260423_121749,densenet121_ensemble3seed,2026-04-23 12:17:49,,results_log.csv,7,224,32,4,0.15,0.15,10,15,0.001,0.001,0.0001,,4,,,,,0.9499712891185758,0.9166666666666666,0.8837209302325582,0.8003875968992249,0.8987341772151899,0.868421052631579,99,114,15,9,0.504486,0.9391329313809934,0.8703703703703703,0.8527131782945736,0.7230835486649441,0.8607594936708861,0.831858407079646,94,110,19,14,0.504486,3.0,1.0,densenet121,True,"8,7,2024",False,0.5,1.0,6.0,1000.0,0.9250825437840942,0.9003373528567327,0.0,0.0,,,,,,,,,,,,,,
20260423_162816,rad-dino_ensemble3seed,2026-04-23 16:28:16,,results_log.csv,7,518,32,4,0.15,0.15,10,15,0.0001,1e-05,0.0001,,4,,,,,0.934108527131783,0.8888888888888888,0.8682170542635659,0.7571059431524547,0.8776371308016878,0.8495575221238938,96,112,17,12,0.462677,0.9550674705713466,0.8888888888888888,0.875968992248062,0.7648578811369509,0.8818565400843882,0.8571428571428571,96,113,16,12,0.462677,3.0,1.0,rad-dino,True,"8,7,2024",False,0.5,1.0,6.0,1000.0,0.9063307493540051,0.918748205569911,0.0,0.0,default,False,0.05,,default,default,0.0,composite,0.0,0.0,False,2.0,6.0,2.0
20260423_164933,rad-dino_ensemble4seed,2026-04-23 16:49:33,,results_log.csv,7,518,32,4,0.15,0.15,10,15,0.0001,0.0001,0.0001,,4,,,,,0.9496124031007752,0.925925925925926,0.8682170542635659,0.7941429801894917,0.8945147679324894,0.8547008547008547,100,112,17,8,0.366975,0.954852138960666,0.9444444444444444,0.8527131782945736,0.797157622739018,0.8945147679324894,0.8429752066115702,102,110,19,6,0.366975,4.0,1.0,rad-dino,True,"8,7,2024,849",False,0.5,1.0,6.0,1000.0,0.9233419465977606,0.9267154751650876,0.0,0.0,default,False,0.05,,default,default,0.0,composite,0.0,0.0,False,2.0,6.0,2.0
