seed,stage,epoch,train_loss,train_auc,train_acc,train_composite,val_loss,val_auc,val_acc,val_sens,val_spec,val_composite,lr
8,frozen,1,0.6898795247077942,0.5434556878306879,0.529891304347826,0.534525462962963,0.6838743090629578,0.7164082687338501,0.6413502109704642,0.4722222222222222,0.7829457364341085,0.6719961240310077,0.0001
8,frozen,2,0.6776793718338012,0.732022156084656,0.654891304347826,0.6805944113756613,0.6724005937576294,0.8104364053976456,0.6708860759493671,0.32407407407407407,0.9612403100775194,0.7265467987367211,0.0001
8,frozen,3,0.6635085344314575,0.8294064153439153,0.6757246376811594,0.738552414021164,0.6618525981903076,0.8396497272466265,0.7172995780590717,0.4351851851851852,0.9534883720930233,0.7669932529428654,0.0001
8,frozen,4,0.6524552702903748,0.8458895502645503,0.7010869565217391,0.76036541005291,0.6508798003196716,0.8532156187194947,0.729957805907173,0.46296296296296297,0.9534883720930233,0.7807206431237439,0.0001
8,frozen,5,0.6376852989196777,0.8706316137566138,0.7164855072463768,0.7813277116402118,0.639316976070404,0.8614699971289118,0.7468354430379747,0.5,0.9534883720930233,0.7941070915877118,0.0001
8,frozen,6,0.6275560259819031,0.8719444444444444,0.7373188405797102,0.7933134920634921,0.6269115209579468,0.866853287395923,0.7721518987341772,0.5555555555555556,0.9534883720930233,0.8106876256101062,0.0001
8,frozen,7,0.6135371327400208,0.8794642857142857,0.7581521739130435,0.8093551587301587,0.613538920879364,0.8720930232558141,0.7848101265822784,0.6111111111111112,0.9302325581395349,0.8213824289405685,0.0001
8,frozen,8,0.5968401789665222,0.8907126322751322,0.7916666666666666,0.8333325066137566,0.599253237247467,0.8756101062302611,0.7932489451476793,0.6574074074074074,0.9069767441860465,0.828901091013494,0.0001
8,frozen,9,0.5816584348678588,0.8938723544973546,0.7934782608695652,0.8378091931216931,0.5840604901313782,0.8779787539477462,0.8185654008438819,0.7129629629629629,0.9069767441860465,0.8439743037611254,0.0001
8,frozen,10,0.5609403014183044,0.8965873015873016,0.7989130434782609,0.8432539682539684,0.5678181648254395,0.8814958369221936,0.8185654008438819,0.7407407407407407,0.8837209302325582,0.8468633362044216,0.0001
8,finetune,1,0.4641359286648887,0.8621527777777777,0.7771739130434783,0.8174652777777777,0.3589375764131546,0.93267298306058,0.8607594936708861,0.9166666666666666,0.813953488372093,0.8989915302899799,9.891830623632339e-05
8,finetune,2,0.36007716144834245,0.9172304894179893,0.8469202898550725,0.8809763558201058,0.3210684657096863,0.9441214470284237,0.8649789029535865,0.8888888888888888,0.8449612403100775,0.9055232558139534,9.572050015330874e-05
8,finetune,3,0.2961552973304476,0.9463442460317459,0.8768115942028986,0.9106324404761904,0.33065118826925755,0.9415733563020385,0.8649789029535865,0.9259259259259259,0.813953488372093,0.9057565317255241,9.05463412215599e-05
8,finetune,4,0.22019280812570027,0.9702248677248677,0.9085144927536232,0.9390608465608465,0.4103209227323532,0.9308785529715762,0.8523206751054853,0.75,0.937984496124031,0.8874354005167958,8.362196501476348e-05
8,finetune,5,0.133312202244997,0.9893468915343915,0.947463768115942,0.968284556878307,0.3706877902150154,0.9388458225667526,0.8607594936708861,0.8981481481481481,0.8294573643410853,0.9013242894056847,7.525e-05
8,finetune,6,0.0690173010208777,0.9971263227513228,0.9737318840579711,0.985368716931217,0.47805460542440414,0.9396353718059144,0.8734177215189873,0.8611111111111112,0.8837209302325582,0.9060256962388744,6.57963412215599e-05
8,finetune,7,0.05872218317485282,0.9977810846560847,0.9809782608695652,0.9892675264550265,0.46382152289152145,0.943296009187482,0.8818565400843882,0.9444444444444444,0.8294573643410853,0.9151234567901235,5.567415893174885e-05
8,finetune,8,0.07618824605430875,0.9968369708994709,0.9728260869565217,0.9847280092592593,0.5098569057881832,0.9391329313809933,0.8818565400843882,0.8888888888888888,0.875968992248062,0.9107809359747343,4.532584106825116e-05
