mode,threshold,auc,sensitivity,specificity,youden,accuracy,precision,tp,tn,fp,fn
youden,0.7122290134429932,0.9189635371805914,0.8240740740740741,0.8527131782945736,0.6767872523686478,0.8396624472573839,0.8240740740740741,89,110,19,19
target_sensitivity,0.48959600925445557,0.9189635371805914,0.9259259259259259,0.7286821705426356,0.6546080964685617,0.8185654008438819,0.7407407407407407,100,94,35,8
target_specificity,0.8164770007133484,0.9189635371805914,0.6574074074074074,0.9069767441860465,0.5643841515934538,0.7932489451476793,0.8554216867469879,71,117,12,37
