stage,epoch,train_loss,train_auc,val_loss,val_auc,val_acc
frozen,1,0.7291509457996913,0.618806216931217,0.7387017905712128,0.6000574217628482,0.5443037974683544
frozen,2,0.6949654596192496,0.7009821428571429,0.7038088068366051,0.7059287970140683,0.6540084388185654
frozen,3,0.6655282429286412,0.7296527777777778,0.6748286858201027,0.7395923054837784,0.6413502109704642
frozen,4,0.6385194863591875,0.7680952380952382,0.6621658653020859,0.7553832902670111,0.6751054852320675
frozen,5,0.6559167351041522,0.737390873015873,0.6529724597930908,0.7570341659488947,0.6624472573839663
frozen,6,0.6293171107769012,0.7720370370370371,0.6478500366210938,0.7613407981625036,0.6708860759493671
frozen,7,0.6324829237801688,0.7691699735449735,0.6435685232281685,0.7685185185185186,0.679324894514768
frozen,8,0.6433530449867249,0.7533167989417989,0.6480197235941887,0.7716767154751651,0.679324894514768
frozen,9,0.6368565678596496,0.7600529100529101,0.6482461988925934,0.761053689348263,0.6666666666666666
frozen,10,0.621306107725416,0.7777976190476189,0.6395666897296906,0.7756244616709733,0.6835443037974683
finetune,1,0.6091907399041312,0.7840773809523809,0.5864026211202145,0.8505598621877691,0.7088607594936709
finetune,2,0.5347035961491721,0.8427976190476191,0.521310955286026,0.8588860178007464,0.7510548523206751
finetune,3,0.4875115658555712,0.8696263227513228,0.5008032992482185,0.8756101062302613,0.7721518987341772
finetune,4,0.44868104543004717,0.8929365079365079,0.4740495905280113,0.8917599770312948,0.7848101265822784
finetune,5,0.453535658121109,0.8894543650793652,0.46969323605298996,0.8865202411714039,0.7848101265822784
finetune,6,0.41829218992165157,0.9098875661375662,0.4439984895288944,0.9015934539190352,0.7848101265822784
finetune,7,0.3817137794835227,0.9238988095238095,0.4268449768424034,0.9120729256388171,0.8016877637130801
finetune,8,0.3859878067459379,0.921630291005291,0.43803995475172997,0.9085558426643697,0.8016877637130801
finetune,9,0.3578332854168756,0.9344510582010581,0.42542873695492744,0.9150157909847831,0.8016877637130801
finetune,10,0.3867169810192926,0.9224404761904761,0.44332356192171574,0.9130060292850991,0.8185654008438819
finetune,11,0.34990919147218974,0.9357242063492063,0.4284910000860691,0.9114269308067757,0.8143459915611815
finetune,12,0.3340505868196487,0.9430324074074075,0.42278478294610977,0.9140826873385013,0.810126582278481
finetune,13,0.3249588774783271,0.9461243386243385,0.4283093847334385,0.9111398219925352,0.8059071729957806
finetune,14,0.35028559054647174,0.9365476190476192,0.42347292229533195,0.9140826873385013,0.8143459915611815
finetune,15,0.33089440039225987,0.9438624338624338,0.42113721929490566,0.9148722365776629,0.810126582278481
